,timestamp,adjusted_close
0,2018-07-02,83.89
1,2018-06-29,83.27
2,2018-06-28,82.48
3,2018-06-27,80.67
4,2018-06-26,82.32
5,2018-06-25,82.19
6,2018-06-22,85.12
7,2018-06-21,85.97
8,2018-06-20,85.95
9,2018-06-19,84.52
10,2018-06-18,85.85
11,2018-06-15,85.31
12,2018-06-14,85.61
13,2018-06-13,85.27
14,2018-06-12,85.02
15,2018-06-11,83.89
16,2018-06-08,84.34
17,2018-06-07,83.27
18,2018-06-06,85.21
19,2018-06-05,85.05
20,2018-06-04,84.57
21,2018-06-01,83.25
22,2018-05-31,82.07
23,2018-05-30,81.6
24,2018-05-29,80.73
25,2018-05-25,80.96
26,2018-05-24,81.55
27,2018-05-23,81.08
28,2018-05-22,80.62
29,2018-05-21,81.25
30,2018-05-18,80.79
31,2018-05-17,79.19
32,2018-05-16,77.82
33,2018-05-15,77.79
34,2018-05-14,78.81
35,2018-05-11,79.2
36,2018-05-10,79.19
37,2018-05-09,77.01
38,2018-05-08,75.72
39,2018-05-07,74.67
40,2018-05-04,73.99
41,2018-05-03,73.45
42,2018-05-02,71.73
43,2018-05-01,74.81
44,2018-04-30,74.61
45,2018-04-27,74.13
46,2018-04-26,76.03
47,2018-04-25,74.0
48,2018-04-24,75.28
49,2018-04-23,78.21
50,2018-04-20,78.73
51,2018-04-19,79.68
52,2018-04-18,80.34
53,2018-04-17,80.03
54,2018-04-16,77.8
55,2018-04-13,77.27
56,2018-04-12,77.46
57,2018-04-11,76.5
58,2018-04-10,76.79
59,2018-04-09,75.19
60,2018-04-06,73.86
61,2018-04-05,76.95
62,2018-04-04,74.78
63,2018-04-03,74.56
64,2018-04-02,75.0
65,2018-03-29,75.87
66,2018-03-28,75.06
67,2018-03-27,76.31
68,2018-03-26,78.95
69,2018-03-23,76.44
70,2018-03-22,78.56
71,2018-03-21,81.04
72,2018-03-20,80.86
73,2018-03-19,80.3
74,2018-03-16,82.16
75,2018-03-15,82.57
76,2018-03-14,83.31
77,2018-03-13,80.2
78,2018-03-12,80.6
79,2018-03-09,80.71
80,2018-03-08,79.87
81,2018-03-07,79.52
82,2018-03-06,79.23
83,2018-03-05,79.07
84,2018-03-02,78.87
85,2018-03-01,78.64
86,2018-02-28,79.41
87,2018-02-27,79.46
88,2018-02-26,79.35
89,2018-02-23,79.69
90,2018-02-22,77.7
