,timestamp,adjusted_close
0,2018-07-02,13.15
1,2018-06-29,13.09
2,2018-06-28,13.4
3,2018-06-27,12.82
4,2018-06-26,13.0
5,2018-06-25,13.1
6,2018-06-22,13.2
7,2018-06-21,13.24
8,2018-06-20,12.8
9,2018-06-19,13.31
10,2018-06-18,14.05
11,2018-06-15,14.02
12,2018-06-14,13.87
13,2018-06-13,13.62
14,2018-06-12,13.42
15,2018-06-11,13.17
16,2018-06-08,13.08
17,2018-06-07,12.73
18,2018-06-06,13.13
19,2018-06-05,12.93
20,2018-06-04,12.32
21,2018-06-01,11.63
22,2018-05-31,11.39
23,2018-05-30,10.97
24,2018-05-29,10.55
25,2018-05-25,10.71
26,2018-05-24,10.6
27,2018-05-23,10.65
28,2018-05-22,10.74
29,2018-05-21,10.71
30,2018-05-18,10.58
31,2018-05-17,10.57
32,2018-05-16,10.58
33,2018-05-15,10.65
34,2018-05-14,10.98
35,2018-05-11,11.04
36,2018-05-10,11.01
37,2018-05-09,11.01
38,2018-05-08,10.97
39,2018-05-07,10.74
40,2018-05-04,10.79
41,2018-05-03,10.97
42,2018-05-02,11.03
43,2018-05-01,14.13
44,2018-04-30,14.33
45,2018-04-27,14.23
46,2018-04-26,14.7
47,2018-04-25,14.54
48,2018-04-24,15.63
49,2018-04-23,15.54
50,2018-04-20,15.2
51,2018-04-19,14.84
52,2018-04-18,14.65
53,2018-04-17,14.88
54,2018-04-16,14.58
55,2018-04-13,14.88
56,2018-04-12,14.92
57,2018-04-11,14.8
58,2018-04-10,14.48
59,2018-04-09,14.15
60,2018-04-06,14.25
61,2018-04-05,14.39
62,2018-04-04,14.59
63,2018-04-03,14.08
64,2018-04-02,14.46
65,2018-03-29,15.87
66,2018-03-28,15.95
67,2018-03-27,16.2
68,2018-03-26,16.25
69,2018-03-23,16.36
70,2018-03-22,16.57
71,2018-03-21,16.57
72,2018-03-20,16.0
73,2018-03-19,16.42
74,2018-03-16,17.01
75,2018-03-15,17.2
76,2018-03-14,17.85
77,2018-03-13,17.51
78,2018-03-12,18.11
79,2018-03-09,17.88
80,2018-03-08,17.65
81,2018-03-07,18.02
82,2018-03-06,18.01
83,2018-03-05,18.25
84,2018-03-02,18.01
85,2018-03-01,17.21
86,2018-02-28,17.32
87,2018-02-27,16.32
88,2018-02-26,17.09
89,2018-02-23,17.45
90,2018-02-22,17.51
91,2018-02-21,18.64
92,2018-02-20,18.93
93,2018-02-16,20.42
94,2018-02-15,19.75
95,2018-02-14,19.56
96,2018-02-13,18.58
97,2018-02-12,18.63
98,2018-02-09,18.8
99,2018-02-08,19.39
100,2018-02-07,20.75
101,2018-02-06,14.06
102,2018-02-05,13.85
103,2018-02-02,13.71
104,2018-02-01,13.92
105,2018-01-31,13.52
106,2018-01-30,13.26
107,2018-01-29,13.47
108,2018-01-26,13.56
109,2018-01-25,13.71
110,2018-01-24,14.44
111,2018-01-23,14.25
112,2018-01-22,14.17
113,2018-01-19,14.04
114,2018-01-18,14.01
115,2018-01-17,13.52
116,2018-01-16,13.5
117,2018-01-12,14.11
118,2018-01-11,14.6
119,2018-01-10,14.65
120,2018-01-09,14.1
121,2018-01-08,14.06
122,2018-01-05,14.5
