,timestamp,adjusted_close
0,2018-07-02,50.2
1,2018-06-29,49.71
2,2018-06-28,49.25
3,2018-06-27,48.76
4,2018-06-26,49.67
5,2018-06-25,50.71
6,2018-06-22,52.5
7,2018-06-21,52.19
8,2018-06-20,53.46
9,2018-06-19,52.93
10,2018-06-18,53.22
11,2018-06-15,55.11
12,2018-06-14,55.54
13,2018-06-13,55.03
14,2018-06-12,54.82
15,2018-06-11,54.52
16,2018-06-08,55.05
17,2018-06-07,55.88
18,2018-06-06,57.03
19,2018-06-05,56.53
20,2018-06-04,56.83
21,2018-06-01,57.08
22,2018-05-31,55.2
23,2018-05-30,55.68
24,2018-05-29,55.32
25,2018-05-25,55.44
26,2018-05-24,54.75
27,2018-05-23,55.21
28,2018-05-22,54.45
29,2018-05-21,54.32
30,2018-05-18,53.5
31,2018-05-17,54.81
32,2018-05-16,54.64
33,2018-05-15,53.92
34,2018-05-14,54.9
35,2018-05-11,54.67
36,2018-05-10,54.98
37,2018-05-09,54.34
38,2018-05-08,53.63
39,2018-05-07,53.33
40,2018-05-04,52.78
41,2018-05-03,51.9845
42,2018-05-02,52.0144
43,2018-05-01,53.0286
44,2018-04-30,51.3283
45,2018-04-27,52.432
46,2018-04-26,52.7502
47,2018-04-25,51.0896
48,2018-04-24,51.1592
49,2018-04-23,50.8112
50,2018-04-20,51.2388
51,2018-04-19,51.9249
52,2018-04-18,53.307
53,2018-04-17,53.2374
54,2018-04-16,52.1038
55,2018-04-13,51.5669
56,2018-04-12,52.422
57,2018-04-11,50.8112
58,2018-04-10,50.9802
59,2018-04-09,49.27
60,2018-04-06,48.5142
61,2018-04-05,50.0953
62,2018-04-04,49.7075
63,2018-04-03,49.4688
64,2018-04-02,48.6435
65,2018-03-29,51.7857
66,2018-03-28,49.3197
67,2018-03-27,50.9007
68,2018-03-26,52.1834
69,2018-03-23,49.081
70,2018-03-22,50.5427
71,2018-03-21,51.2686
72,2018-03-20,51.2586
73,2018-03-19,50.5427
74,2018-03-16,50.8808
75,2018-03-15,50.5924
76,2018-03-14,51.5669
77,2018-03-13,51.4873
78,2018-03-12,51.2288
79,2018-03-09,51.895
80,2018-03-08,50.4532
81,2018-03-07,51.0299
82,2018-03-06,50.4234
83,2018-03-05,49.4688
84,2018-03-02,48.7032
85,2018-03-01,47.5696
86,2018-02-28,49.0114
87,2018-02-27,49.6279
88,2018-02-26,48.8324
89,2018-02-23,47.4602
90,2018-02-22,45.5411
91,2018-02-21,45.6804
92,2018-02-20,46.0582
93,2018-02-16,45.3025
94,2018-02-15,45.6605
95,2018-02-14,45.1235
96,2018-02-13,44.2087
97,2018-02-12,44.5766
98,2018-02-09,43.7016
99,2018-02-08,42.5084
100,2018-02-07,44.9445
101,2018-02-06,44.6562
102,2018-02-05,43.9746
103,2018-02-02,45.5847
104,2018-02-01,47.0663
105,2018-01-31,47.5503
106,2018-01-30,48.1923
107,2018-01-29,49.3677
108,2018-01-26,49.4665
109,2018-01-25,44.7451
110,2018-01-24,44.9525
111,2018-01-23,45.4958
112,2018-01-22,45.1896
113,2018-01-19,44.271
114,2018-01-18,43.9351
115,2018-01-17,43.8462
116,2018-01-16,42.6115
117,2018-01-12,42.7103
118,2018-01-11,42.8782
119,2018-01-10,41.9794
120,2018-01-09,43.0857
121,2018-01-08,44.1919
122,2018-01-05,44.1919
123,2018-01-04,43.8857
124,2018-01-03,44.7056
125,2018-01-02,46.2761
126,2017-12-29,45.5945
127,2017-12-28,45.6538
128,2017-12-27,45.5452
129,2017-12-26,45.5155
130,2017-12-22,46.1279
131,2017-12-21,46.1872
132,2017-12-20,46.9774
133,2017-12-19,46.4638
134,2017-12-18,45.6933
135,2017-12-15,44.0141
136,2017-12-14,42.7301
137,2017-12-13,42.8091
138,2017-12-12,42.7992
139,2017-12-11,43.1252
140,2017-12-08,42.819
141,2017-12-07,42.5523
142,2017-12-06,42.9177
143,2017-12-05,42.9079
144,2017-12-04,43.945
145,2017-12-01,44.1327
146,2017-11-30,44.2907
147,2017-11-29,43.4116
148,2017-11-28,44.1821
149,2017-11-27,43.945
150,2017-11-24,44.2018
151,2017-11-22,44.103
152,2017-11-21,44.3895
153,2017-11-20,44.0734
154,2017-11-17,44.0833
155,2017-11-16,45.0908
156,2017-11-15,44.9031
157,2017-11-14,45.2982
158,2017-11-13,45.1896
159,2017-11-10,45.0216
160,2017-11-09,45.7328
161,2017-11-08,46.1279
162,2017-11-07,46.2069
163,2017-11-06,46.1279
164,2017-11-03,45.5068
165,2017-11-02,46.2531
166,2017-11-01,45.8701
167,2017-10-31,44.6721
168,2017-10-30,43.5722
169,2017-10-27,43.6017
170,2017-10-26,40.6065
171,2017-10-25,40.0468
172,2017-10-24,40.2137
173,2017-10-23,40.0959
174,2017-10-20,39.7031
175,2017-10-19,39.3692
176,2017-10-18,39.5263
177,2017-10-17,39.0746
178,2017-10-16,39.0451
179,2017-10-13,38.9567
180,2017-10-12,38.4854
181,2017-10-11,38.5934
182,2017-10-10,38.9371
183,2017-10-09,39.1433
184,2017-10-06,38.9174
185,2017-10-05,38.8192
186,2017-10-04,38.6327
187,2017-10-03,38.6719
188,2017-10-02,38.3381
189,2017-09-29,37.3953
190,2017-09-28,37.1498
191,2017-09-27,36.865
192,2017-09-26,36.7963
193,2017-09-25,36.4919
194,2017-09-22,36.5115
195,2017-09-21,36.5311
196,2017-09-20,36.4035
197,2017-09-19,36.5606
198,2017-09-18,36.3347
199,2017-09-15,36.3347
200,2017-09-14,35.8241
201,2017-09-13,35.6768
202,2017-09-12,35.4411
203,2017-09-11,35.1268
204,2017-09-08,34.5573
205,2017-09-07,34.901
206,2017-09-06,35.117
207,2017-09-05,34.3903
208,2017-09-01,34.4591
209,2017-08-31,34.4394
210,2017-08-30,34.2627
211,2017-08-29,34.1055
212,2017-08-28,34.027
213,2017-08-25,34.0466
214,2017-08-24,34.0859
215,2017-08-23,34.0368
216,2017-08-22,34.027
217,2017-08-21,34.2921
218,2017-08-18,34.3805
219,2017-08-17,34.5376
220,2017-08-16,35.1661
221,2017-08-15,35.3527
222,2017-08-14,35.6866
223,2017-08-11,35.225
224,2017-08-10,35.4902
225,2017-08-09,35.9321
226,2017-08-08,35.7553
227,2017-08-07,35.775
228,2017-08-04,35.6473
229,2017-08-03,35.8339
230,2017-08-02,35.7145
231,2017-08-01,35.5098
232,2017-07-31,34.574
233,2017-07-28,34.4181
234,2017-07-27,34.0867
235,2017-07-26,33.8722
236,2017-07-25,33.7943
237,2017-07-24,33.6286
238,2017-07-21,33.8527
239,2017-07-20,33.8722
240,2017-07-19,33.687
241,2017-07-18,33.6578
242,2017-07-17,33.5993
243,2017-07-14,33.804
244,2017-07-13,33.3751
245,2017-07-12,33.3849
246,2017-07-11,33.0632
247,2017-07-10,32.8
248,2017-07-07,33.0242
249,2017-07-06,32.7805
250,2017-07-05,33.4726
251,2017-07-03,32.6148
252,2017-06-30,32.8877
253,2017-06-29,32.6928
254,2017-06-28,33.3361
