Pos,Neg,DaysOld,Mag1,Mag2,Mag3,Mag4,Mag5,Mag6,Mag7,Reg1,Reg2,Reg3,Reg4,dayoftheweek
24,10,0,-0.0055356227575601444,-0.0060959991803698462,-0.0051276792123884727,-0.011916887349765752,-0.012017517058763546,-0.017172382351451226,-0.031401327941690337,-0.32000000000000028,-0.60334146341463468,-0.32428571428571373,0.17336187845303774,0
13,1,0,-0.0055356227575601444,-0.0060959991803698462,-0.0051276792123884727,-0.011916887349765752,-0.012017517058763546,-0.017172382351451226,-0.031401327941690337,-0.32000000000000028,-0.60334146341463468,-0.32428571428571373,0.17336187845303774,0
6,8,0,-0.0055356227575601444,-0.0060959991803698462,-0.0051276792123884727,-0.011916887349765752,-0.012017517058763546,-0.017172382351451226,-0.031401327941690337,-0.32000000000000028,-0.60334146341463468,-0.32428571428571373,0.17336187845303774,0
1,1,13,-0.0055356227575601444,-0.0060959991803698462,-0.0051276792123884727,-0.011916887349765752,-0.012017517058763546,-0.017172382351451226,-0.031401327941690337,-0.32000000000000028,-0.60334146341463468,-0.32428571428571373,0.17336187845303774,0
0,0,24,-0.0055356227575601444,-0.0060959991803698462,-0.0051276792123884727,-0.011916887349765752,-0.012017517058763546,-0.017172382351451226,-0.031401327941690337,-0.32000000000000028,-0.60334146341463468,-0.32428571428571373,0.17336187845303774,0
8,3,21,-0.0055356227575601444,-0.0060959991803698462,-0.0051276792123884727,-0.011916887349765752,-0.012017517058763546,-0.017172382351451226,-0.031401327941690337,-0.32000000000000028,-0.60334146341463468,-0.32428571428571373,0.17336187845303774,0
29,18,0,-0.0055356227575601444,-0.0060959991803698462,-0.0051276792123884727,-0.011916887349765752,-0.012017517058763546,-0.017172382351451226,-0.031401327941690337,-0.32000000000000028,-0.60334146341463468,-0.32428571428571373,0.17336187845303774,0
10,11,28,-0.0055356227575601444,-0.0060959991803698462,-0.0051276792123884727,-0.011916887349765752,-0.012017517058763546,-0.017172382351451226,-0.031401327941690337,-0.32000000000000028,-0.60334146341463468,-0.32428571428571373,0.17336187845303774,0
48,32,3,-0.0055356227575601444,-0.0060959991803698462,-0.0051276792123884727,-0.011916887349765752,-0.012017517058763546,-0.017172382351451226,-0.031401327941690337,-0.32000000000000028,-0.60334146341463468,-0.32428571428571373,0.17336187845303774,0
