Pos,Neg,DaysOld,Mag1,Mag2,Mag3,Mag4,Mag5,Mag6,Mag7,Reg1,Reg2,Reg3,Reg4,dayoftheweek
28,11,-1,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
24,18,3,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
39,13,3,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
8,15,20,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
26,20,24,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
0,0,0,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
25,16,7,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
10,12,0,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
8,14,0,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
3,0,0,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
4,6,3,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
51,52,22,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
4,6,0,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
28,12,3,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
13,11,3,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
20,17,10,-0.011724888190499201,-0.0025619128949614951,0.00061192020560532829,0.013888888888888945,0.025332330072736522,0.004669451953797121,0.0259756556657047,0.74750000000000227,0.22895121951219619,-0.026428571428570739,0.094419889502762686,0
