Pos,Neg,DaysOld,Mag1,Mag2,Mag3,Mag4,Mag5,Mag6,Mag7,Reg1,Reg2,Reg3,Reg4,dayoftheweek
1,1,4,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
2,3,3,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
4,0,0,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
8,3,0,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
2,4,0,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
2,3,4,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
3,0,13,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
0,1,6,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
2,2,0,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
1,0,6,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
5,1,3,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
2,3,25,-0.010840108401083973,-0.02601734489659777,-0.05756350472767454,-0.06032700620184174,-0.062478729183496097,-0.059607972463260321,-0.052596469688927207,-1.0162250000000022,-0.42873829268292762,-0.20474285714285706,-0.087369640883978084,0
