Pos,Neg,DaysOld,Mag1,Mag2,Mag3,Mag4,Mag5,Mag6,Mag7,Reg1,Reg2,Reg3,Reg4,dayoftheweek
3,5,6,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
15,8,7,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
3,0,6,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
23,4,29,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
38,13,4,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
24,10,4,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
29,16,1,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
53,42,14,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
5,4,0,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
8,3,7,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
9,5,7,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
3,5,6,-0.0048095876369943979,-0.003473867045633963,-0.010427283418267333,-0.011744440964610085,-0.033093304734181046,-0.042046144505160844,-0.033685499923442087,-0.92749999999999844,-0.39143902439024442,-0.10857142857142829,-0.038121546961326074,1
