Ticker,BuyPrice,Amount
INTC,53.049999999999997,62
NVDA,225.22,14
TWTR,30.27,110
IBM,139.86,16
WMT,84.0,28
MSFT,100.01,23
WMT,84.0,28
PYPL,83.89,28
AAPL,187.18,12
QCOM,56.18,41
FB,197.36,11
BABA,186.36,12
GS,223.26,10
